Iso3_code,Region,Subregion,Country,Dimension,Category,Sex,Age,Year,Counts
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2012,36664.0047827437
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Total,Total,2019,36661.0
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2020,36588.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,1994,36573.0
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2011,36489.1957739864
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2019,36459.0
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,36418.0
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2009,36282.3283223851
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2014,36253.9526640137
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Total,Total,2007,36177.2003267834
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2013,36172.6836279457
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2000,36159.4546874238
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2004,36009.9416927369
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2001,35974.2058402049
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Total,Total,2021,35700.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,2005,35636.0
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2021,35511.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,1996,35171.0
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2002,35087.7822628882
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2010,35040.0396855948
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,1997,34995.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Male,Total,2005,34735.0284857722
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2008,34664.5254475969
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2003,34605.6293920736
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2007,34566.0019191098
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,1995,34480.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,1993,34442.0
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2005,34249.0754456112
BRA,Americas,Latin America and the Caribbean,Brazil,by mechanisms,Firearms or explosives,Total,Total,2020,34003.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,1995,34000.0905836817
BRA,Americas,Latin America and the Caribbean,Brazil,by mechanisms,Firearms or explosives - firearms,Total,Total,2020,33994.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,1992,33912.0
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2006,33790.6664552589
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,1998,33553.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,2002,33536.0
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2016,33477.4513076209
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Total,Total,2022,33287.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,1999,33117.6152812557
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2015,33024.2605541687
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2021,33005.2208338675
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2000,32971.279643191
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2022,32954.0
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2017,32899.0356223717
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Male,Total,2018,32765.0
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Male,Total,2018,32567.0
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Male,Total,2019,32530.0
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Male,Total,2019,32363.0
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Male,Total,2020,32336.0
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2018,32287.9221668344
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2019,32258.1912106218
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Total,Total,2023,32252.0
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Male,Total,2020,32188.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,2001,32165.0
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Total,Total,2017,32079.0
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2023,32000.0
IND,Asia,Southern Asia,India,Total,Total,Male,30-44,2008,31941.0
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2022,31698.6325855377
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2017,31653.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,2003,31459.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2001,31448.1100338036
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Male,Total,2021,31263.0
BIG5_ASIA,Asia,Asia,All Asia,Total,Total,Female,Total,2020,31223.4554621932
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2002,31217.395003182
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Male,Total,2021,31121.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,1995,30950.9401577797
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,2000,30753.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2004,30626.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2003,29858.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,1994,29851.4119290109
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2005,29827.0
MEX,Americas,Latin America and the Caribbean,Mexico,by citizenship,National citizens,Male,Total,2019,29820.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,2004,29615.0
IRQ_C,Asia,Western Asia,Iraq (Central Iraq),by situational context,Socio-political homicide - terrorist offences,Total,Total,2021,29552.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,1996,29440.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2006,29389.0789127287
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,1990,29301.1892957654
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Female,Total,2022,29268.5146305698
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2014,29072.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Male,Total,2006,29055.9650644225
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2012,29027.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2008,29006.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2011,28909.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Total,Total,2006,28844.0
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Male,Total,2022,28745.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2010,28589.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2007,28568.0
IRQ_C,Asia,Western Asia,Iraq (Central Iraq),by situational context,Socio-political homicide - terrorist offences,Male,Total,2021,28538.0
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Male,Total,2017,28522.0
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Male,Total,2022,28487.0
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Total,Total,1993,28441.0
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Total,Total,1991,28424.0
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Total,Total,2002,28387.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,1999,28355.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Total,Total,2008,28300.6004542348
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Male,Total,2023,28243.0
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Total,Total,1992,28184.0
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Male,Total,2017,28171.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,1991,28148.4728791161
MEX,Americas,Latin America and the Caribbean,Mexico,by relationship to perpetrator,Perpetrator to victim relationship unknown,Male,Total,2023,28044.0
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Female,Total,2021,28031.9052840728
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,1993,28012.7512962489
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2009,27970.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2013,27967.0
MEX,Americas,Latin America and the Caribbean,Mexico,by citizenship,National citizens,Male,Total,2020,27860.0
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Total,Total,2001,27840.0
MEX,Americas,Latin America and the Caribbean,Mexico,by citizenship,National citizens,Male,Total,2018,27624.0
CHN,Asia,Eastern Asia,China,Total,Total,Total,Total,1995,27356.0
MEX,Americas,Latin America and the Caribbean,Mexico,by citizenship,National citizens,Male,Total,2021,27339.0
IND,Asia,Southern Asia,India,Total,Total,Male,Total,2015,27284.0
ZAF,Africa,Sub-Saharan Africa,South Africa,Total,Total,Total,Total,2022,27272.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,1994,27248.8588737598
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Total,Total,2011,27213.0
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Total,Total,1994,27079.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Total,Total,2009,26952.7203465987
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,1990,26930.6467841995
ZAF,Africa,Sub-Saharan Africa,South Africa,Total,Total,Total,Total,1995,26877.0
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,2005,26787.0
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Total,Total,2000,26539.0
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Male,Total,1991,26403.3090130215
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Male,Total,2007,26345.2426766259
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Male,Total,1993,26326.3809942807
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,1997,26307.0
CHN,Asia,Eastern Asia,China,Total,Total,Total,Total,2002,26276.0
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Female,Total,2020,26269.3129076996
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Female,Total,2017,26195.458227423
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Male,Total,2002,26144.9796799194
RUS,Europe,Eastern Europe,Russian Federation,Total,Total,Male,Total,1992,26134.0
CHN,Asia,Eastern Asia,China,Total,Total,Total,Total,1997,26070.0
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Female,Total,2016,26058.9159195811
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Male,Total,1992,26056.3916811092
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Female,Total,2018,26013.0721829795
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Total,Total,2012,25967.0
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Total,Total,1992,25966.8401382978
ZAF,Africa,Sub-Saharan Africa,South Africa,Total,Total,Total,Total,1994,25965.0
BIG5_AFR,Africa,Africa,All Africa,Total,Total,Female,Total,2019,25885.3224968206
MEX,Americas,Latin America and the Caribbean,Mexico,by mechanisms,Firearms or explosives,Total,Total,2019,25871.0
MEX,Americas,Latin America and the Caribbean,Mexico,by mechanisms,Firearms or explosives - firearms,Total,Total,2019,25867.0
MEX,Americas,Latin America and the Caribbean,Mexico,Total,Total,Total,Total,2010,25757.0
MEX,Americas,Latin America and the Caribbean,Mexico,by mechanisms,Firearms or explosives,Total,Total,2018,25701.0
MEX,Americas,Latin America and the Caribbean,Mexico,by mechanisms,Firearms or explosives - firearms,Total,Total,2018,25699.0
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Total,Total,2010,25660.7707604576
BIG5_EUR,Europe,Europe,All Europe,Total,Total,Total,Total,2015,25656.291185494
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,1991,25647.7110110154
MEX,Americas,Latin America and the Caribbean,Mexico,by mechanisms,Firearms or explosives,Total,Total,2020,25639.0
MEX,Americas,Latin America and the Caribbean,Mexico,by mechanisms,Firearms or explosives - firearms,Total,Total,2020,25635.0
COL,Americas,Latin America and the Caribbean,Colombia,Total,Total,Male,Total,2001,25625.6545025116
BRA,Americas,Latin America and the Caribbean,Brazil,Total,Total,Male,Total,1993,25608.2783889662
